Time,Subject,Midline
0,CTEEG_Control_30,1.87e-6
0,CTEEG_Control_31,2.29e-6
0,CTEEG_Control_32,2.99e-6
0,CTEEG_Control_33,1.69e-6
0,CTEEG_Control_34,2.37e-6
0,CTEEG_Control_35,7.51e-7
0,CTEEG_Control_36,3.47e-6
0,CTEEG_Control_37,1.76e-6
0,CTEEG_Control_38,1.52e-6
0,CTEEG_Control_41,2.42e-6
0,CTEEG_Control_42,1.22e-6
0,CTEEG_Control_43,1.5e-6
0,CTEEG_Control_46,2.79e-6
0,CTEEG_Control_47,1.09e-6
0,CTEEG_Control_48,1.25e-6
0,CTEEG_Control_51,1.14e-6
0,CTEEG_Control_52,6e-6
0,CTEEG_Control_53,1.32e-6
0,CTEEG_Control_54,1.31e-6
0,CTEEG_Control_55,1.76e-6
0,CTEEG_Control_56,1.27e-6
0,CTEEG_Control_59,2.11e-6
0,CTEEG_Control_61,1.67e-6
0,CTEEG_Control_62,5.86e-7
0,CTEEG_Control_65,1.16e-6
0.0078125,CTEEG_Control_30,1.83e-6
0.0078125,CTEEG_Control_31,2.27e-6
0.0078125,CTEEG_Control_32,2.97e-6
0.0078125,CTEEG_Control_33,1.69e-6
0.0078125,CTEEG_Control_34,2.37e-6
0.0078125,CTEEG_Control_35,7.47e-7
0.0078125,CTEEG_Control_36,3.45e-6
0.0078125,CTEEG_Control_37,1.76e-6
0.0078125,CTEEG_Control_38,1.51e-6
0.0078125,CTEEG_Control_41,2.36e-6
0.0078125,CTEEG_Control_42,1.22e-6
0.0078125,CTEEG_Control_43,1.5e-6
0.0078125,CTEEG_Control_46,2.81e-6
0.0078125,CTEEG_Control_47,1.06e-6
0.0078125,CTEEG_Control_48,1.25e-6
0.0078125,CTEEG_Control_51,1.11e-6
0.0078125,CTEEG_Control_52,6.06e-6
0.0078125,CTEEG_Control_53,1.32e-6
0.0078125,CTEEG_Control_54,1.29e-6
0.0078125,CTEEG_Control_55,1.75e-6
0.0078125,CTEEG_Control_56,1.27e-6
0.0078125,CTEEG_Control_59,2.09e-6
0.0078125,CTEEG_Control_61,1.7e-6
0.0078125,CTEEG_Control_62,5.8e-7
0.0078125,CTEEG_Control_65,1.17e-6
0.015625,CTEEG_Control_30,1.79e-6
0.015625,CTEEG_Control_31,2.25e-6
0.015625,CTEEG_Control_32,2.95e-6
0.015625,CTEEG_Control_33,1.69e-6
0.015625,CTEEG_Control_34,2.37e-6
0.015625,CTEEG_Control_35,7.42e-7
0.015625,CTEEG_Control_36,3.42e-6
0.015625,CTEEG_Control_37,1.76e-6
0.015625,CTEEG_Control_38,1.5e-6
0.015625,CTEEG_Control_41,2.3e-6
0.015625,CTEEG_Control_42,1.23e-6
0.015625,CTEEG_Control_43,1.5e-6
0.015625,CTEEG_Control_46,2.82e-6
0.015625,CTEEG_Control_47,1.03e-6
0.015625,CTEEG_Control_48,1.26e-6
0.015625,CTEEG_Control_51,1.09e-6
0.015625,CTEEG_Control_52,6.12e-6
0.015625,CTEEG_Control_53,1.33e-6
0.015625,CTEEG_Control_54,1.27e-6
0.015625,CTEEG_Control_55,1.74e-6
0.015625,CTEEG_Control_56,1.26e-6
0.015625,CTEEG_Control_59,2.08e-6
0.015625,CTEEG_Control_61,1.73e-6
0.015625,CTEEG_Control_62,5.73e-7
0.015625,CTEEG_Control_65,1.19e-6
0.023438,CTEEG_Control_30,1.75e-6
