"","Subject","MM_Intercept","MM_Hess","features_class","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"1","CTEEG030",1.15688078547111e-07,-1.07736923312268e-07,"control",9.16539023306789e-07,-7.69314314126376e-10,0.959,0.677,0.146,0.095,0.315457413249211,0.684542586750789,0.977,0.764,0.6,0.141,0.032,0.067,0.286014721345952,0.35856992639327,0.355415352260778,0.571,0.775,0.976,0.694,0.056,0.024,0.141,0.027,0.256572029442692,0.286014721345952,0.289169295478444,0.168243953732913,0.848,0.765,0.572,0.694,1.065,0.034,0.015,0.056,0.027,0.133,0.19453207150368,0.219768664563617,0.256572029442692,0.170347003154574,0.158780231335436
"2","CTEEG031",9.66967561846753e-08,-9.00508608757322e-08,"control",8.74337431750834e-07,-7.27143108234967e-10,0.62,1.054,0.058,0.297,0.590447154471545,0.409552845528455,0.671,0.574,1.055,0.031,0.033,0.296,0.283536585365854,0.306910569105691,0.409552845528455,0.671,1.434,0.907,0.574,0.031,0.305,0.088,0.033,0.283536585365854,0.113821138211382,0.295731707317073,0.306910569105691,0.545,0.675,0.605,0.907,1.434,0.02,0.029,0.015,0.088,0.305,0.149390243902439,0.257113821138211,0.183943089430894,0.295731707317073,0.113821138211382
"3","CTEEG032",-4.57038620537882e-08,4.25626694113656e-08,"control",5.9659992730215e-07,-4.59208615219657e-10,0.425,0.694,0.044,0.18,0.470643939393939,0.529356060606061,0.587,0.422,0.875,0.051,0.042,0.182,0.352272727272727,0.456439393939394,0.191287878787879,0.581,0.366,0.874,0.439,0.055,0.03,0.182,0.018,0.375,0.121212121212121,0.192234848484848,0.31155303030303,0.369,0.428,0.463,0.586,0.874,0.031,0.007,0.013,0.052,0.182,0.129734848484848,0.18844696969697,0.133522727272727,0.357007575757576,0.191287878787879
"4","CTEEG033",1.88001164060503e-08,-1.75079985797342e-08,"control",7.03601356482177e-07,-5.41645717436096e-10,0.787,0.513,0.118,0.062,0.423728813559322,0.576271186440678,0.505,0.688,0.89,0.058,0.053,0.095,0.536128456735058,0.272078501338091,0.191793041926851,0.552,0.784,0.414,0.465,0.031,0.119,0.011,0.018,0.354148082069581,0.433541480820696,0.0954504906333631,0.11685994647636,0.414,0.547,0.465,0.69,0.89,0.011,0.027,0.018,0.052,0.095,0.0954504906333631,0.329170383586084,0.11685994647636,0.266726137377342,0.191793041926851
"5","CTEEG034",1.36992345854389e-07,-1.2757696463826e-07,"control",9.26393193944911e-07,-7.4553439890716e-10,1.006,0.643,0.159,0.118,0.41207075962539,0.58792924037461,0.751,0.511,1.058,0.067,0.05,0.147,0.45681581685744,0.227887617065557,0.315296566077003,0.751,0.557,1.058,0.472,0.067,0.025,0.147,0.026,0.45681581685744,0.105098855359001,0.315296566077003,0.122788761706556,0.844,0.514,0.674,0.733,1.106,0.044,0.052,0.015,0.022,0.136,0.262226847034339,0.234131113423517,0.123829344432882,0.138397502601457,0.241415192507804
"6","CTEEG035",-5.79272061043933e-08,5.39459126154472e-08,"control",6.63448419232646e-07,-6.27883789665782e-10,0.51,0.634,0.055,0.208,0.558428128231644,0.441571871768356,0.53,0.366,0.739,0.042,0.067,0.12,0.472595656670114,0.198552223371251,0.328852119958635,0.363,0.815,0.607,0.503,0.066,0.107,0.035,0.026,0.1923474663909,0.185108583247156,0.30506721820062,0.317476732161324,0.517,0.815,0.445,0.607,0.308,0.017,0.107,0.031,0.035,0.045,0.22440537745605,0.185108583247156,0.188210961737332,0.304033092037229,0.0982419855222337
"7","CTEEG036",4.63101245571416e-07,-4.3127264298411e-07,"control",1.24549863786434e-06,-6.96639984448682e-10,1.235,1.102,0.267,0.064,0.40972972972973,0.59027027027027,1.157,1.045,1.243,0.036,0.039,0.274,0.334054054054054,0.303783783783784,0.362162162162162,1.108,1.57,0.957,1.236,0.03,0.158,0.074,0.049,0.339459459459459,0.0983783783783784,0.254054054054054,0.308108108108108,1.57,0.876,1.014,1.109,1.236,0.158,0.044,0.021,0.029,0.049,0.0983783783783784,0.103783783783784,0.157837837837838,0.331891891891892,0.308108108108108
"8","CTEEG037",-5.10403591499514e-08,4.75323933391092e-08,"control",6.26225439893308e-07,-5.35026059945955e-10,0.687,0.423,0.119,0.065,0.470124013528749,0.529875986471251,0.423,0.617,0.827,0.065,0.045,0.092,0.527621195039459,0.315670800450958,0.156708004509583,0.375,0.828,0.491,0.62,0.038,0.092,0.026,0.043,0.304396843291996,0.156708004509583,0.235625704622322,0.303269447576099,0.59,0.375,0.858,0.678,0.49,0.025,0.038,0.081,0.028,0.026,0.190529875986471,0.304396843291996,0.122886133032694,0.149943630214205,0.232243517474634
"9","CTEEG038",4.9454979000025e-08,-4.60559752250078e-08,"control",7.22219946095271e-07,-5.1236158385477e-10,0.537,0.77,0.071,0.07,0.504357298474945,0.495642701525054,0.7,0.823,0.534,0.027,0.043,0.069,0.229847494553377,0.277777777777778,0.492374727668845,0.601,0.702,0.823,0.483,0.028,0.024,0.044,0.046,0.227668845315904,0.21677559912854,0.278867102396514,0.276688453159041,0.602,0.846,0.765,0.483,0.697,0.028,0.031,0.019,0.046,0.019,0.23202614379085,0.188453159041394,0.120915032679739,0.276688453159041,0.181917211328976
"10","CTEEG041",1.88652273243645e-07,-1.75686342940956e-07,"control",9.51670932541908e-07,-6.86936223218969e-10,0.677,0.962,0.11,0.108,0.424528301886792,0.575471698113208,0.75,0.545,0.963,0.037,0.066,0.107,0.277777777777778,0.150943396226415,0.571278825995807,0.545,0.749,0.899,1.087,0.066,0.037,0.043,0.085,0.150943396226415,0.273584905660377,0.381551362683438,0.193920335429769,1.087,0.744,0.933,0.545,0.855,0.084,0.033,0.019,0.066,0.027,0.193920335429769,0.249475890985325,0.20335429769392,0.150943396226415,0.20230607966457
