,Features,"Local 
 Importance",Class,Trial
0,-0.45 < MM_Hess <= 7.22,0.3996242299206739,Experiment,Trial 1
1,-0.63 < idle_time <= -0.24,-0.04333664822152729,Control,Trial 1
2,hmm5_sd.3 > 0.02,-0.037396964115613836,Control,Trial 1
3,-0.37 < angle_sum <= 0.74,0.03271468745554285,Experiment,Trial 1
4,MM_Intercept > 0.20,-0.0326884169056486,Control,Trial 1
5,hmm5_sd.5 > 0.03,-0.030141609859606736,Control,Trial 1
6,-0.06 < dis_sum <= 0.43,-0.030019242032929314,Control,Trial 1
7,0.02 < hmm5_sd.1 <= 0.03,-0.023902180238805897,Control,Trial 1
8,0.01 < hmm5_sd.4 <= 0.02,-0.023672470698640036,Control,Trial 1
9,hmm5_mean.5 > 0.34,-0.018031321563223277,Control,Trial 1
10,hmm5_mean.2 > 0.28,-0.012399020684503857,Control,Trial 1
11,average_peak_curvature <= -0.00,-0.011930222937498236,Control,Trial 1
12,hmm5_p3 > 0.22,0.011919205883017632,Experiment,Trial 1
13,-0.08 < average_speed <= 0.29,-0.01075617647010037,Control,Trial 1
14,average_peak_magnitude > 0.91,-0.010007228369396172,Control,Trial 1
15,0.22 < hmm5_mean.4 <= 0.27,-0.009387549891034639,Control,Trial 1
16,0.19 < hmm5_p2 <= 0.22,-0.009224033700879361,Control,Trial 1
17,0.15 < hmm5_p4 <= 0.21,0.009045112763267506,Experiment,Trial 1
18,hmm5_sd.2 <= 0.01,0.0064051735165592885,Experiment,Trial 1
19,0.18 < hmm5_p1 <= 0.22,0.0056085326816041345,Experiment,Trial 1
20,0.18 < hmm5_mean.3 <= 0.25,-0.0032711283118493327,Control,Trial 1
21,hmm5_mean.1 > 0.33,-0.0017454792423361799,Control,Trial 1
22,MM_Hess <= -11.75,-0.31787082376646153,Control,Trial 1
23,idle_time <= -0.52,-0.14345978415205446,Control,Trial 1
24,dis_sum > 0.40,-0.11993477227213256,Control,Trial 1
25,average_speed > 0.25,0.04746825268915891,Experiment,Trial 1
26,-0.37 < angle_sum <= 0.74,0.042661269547445466,Experiment,Trial 1
27,hmm5_mean.5 > 0.34,-0.02745228216350489,Control,Trial 1
28,hmm5_mean.4 > 0.26,0.026409848080522415,Experiment,Trial 1
29,hmm5_sd.5 > 0.03,-0.023340671414110312,Control,Trial 1
30,-0.04 < MM_Intercept <= 0.22,-0.017083297147186538,Control,Trial 1
31,0.16 < hmm5_p3 <= 0.23,0.015769722559807225,Experiment,Trial 1
32,0.01 < hmm5_sd.2 <= 0.02,0.014593076030460955,Experiment,Trial 1
33,0.14 < hmm5_mean.1 <= 0.21,-0.011869476989750497,Control,Trial 1
34,0.18 < hmm5_mean.3 <= 0.25,-0.010485036653553532,Control,Trial 1
35,0.13 < hmm5_p1 <= 0.19,-0.009756569173362843,Control,Trial 1
36,0.01 < hmm5_sd.1 <= 0.02,0.00783882197631132,Experiment,Trial 1
37,0.18 < hmm5_mean.2 <= 0.28,0.007246559907655758,Experiment,Trial 1
38,hmm5_sd.4 > 0.03,0.005992410130818866,Experiment,Trial 1
39,0.01 < hmm5_sd.3 <= 0.01,-0.004292566008497264,Control,Trial 1
40,0.22 < hmm5_p2 <= 0.29,-0.002521453817569223,Control,Trial 1
41,hmm5_p4 > 0.24,-0.0025136245650382834,Control,Trial 1
42,average_peak_magnitude > 0.91,-0.002464192202451536,Control,Trial 1
43,average_peak_curvature <= -0.00,-0.0018867137558275906,Control,Trial 1
44,MM_Hess <= -11.75,-0.36020102943753124,Control,Trial 1
45,idle_time > 0.05,0.19237907979862834,Experiment,Trial 1
46,angle_sum <= -0.58,0.17244842473445562,Experiment,Trial 1
47,-0.69 < dis_sum <= -0.02,0.0584143376027601,Experiment,Trial 1
48,0.01 < hmm5_sd.1 <= 0.02,-0.029315343582317504,Control,Trial 1
49,MM_Intercept <= -0.20,0.028034125017761587,Experiment,Trial 1
50,-0.20 < average_peak_magnitude <= 0.41,-0.02277048363548076,Control,Trial 1
51,average_speed <= -0.67,-0.01930941628450825,Control,Trial 1
52,hmm5_p4 > 0.24,-0.016819849878029137,Control,Trial 1
53,0.14 < hmm5_mean.3 <= 0.19,-0.012980946424772563,Control,Trial 1
54,hmm5_sd.2 <= 0.01,-0.011826321298514792,Control,Trial 1
55,0.12 < hmm5_p3 <= 0.17,-0.010425362750378654,Control,Trial 1
56,-0.00 < average_peak_curvature <= -0.00,0.010132725316555128,Experiment,Trial 1
57,0.15 < hmm5_mean.4 <= 0.22,0.008066818521263295,Experiment,Trial 1
58,0.02 < hmm5_sd.4 <= 0.03,0.0076373667929930614,Experiment,Trial 1
59,0.19 < hmm5_p2 <= 0.23,-0.007460435527980477,Control,Trial 1
60,hmm5_mean.1 <= 0.15,0.005986427876102715,Experiment,Trial 1
61,hmm5_sd.5 > 0.03,-0.005565973157881043,Control,Trial 1
62,0.12 < hmm5_mean.2 <= 0.19,-0.003401778907571252,Control,Trial 1
63,hmm5_sd.3 <= 0.01,0.00261413163095016,Experiment,Trial 1
64,hmm5_p1 <= 0.13,-0.002150718114822848,Control,Trial 1
65,hmm5_mean.5 > 0.34,0.0013439970750824886,Experiment,Trial 1
66,MM_Hess <= -11.75,-0.3438452295182253,Control,Trial 1
67,angle_sum > 0.38,-0.24879183232723756,Control,Trial 1
68,-0.63 < idle_time <= -0.24,-0.08704106215852339,Control,Trial 1
69,-0.06 < dis_sum <= 0.43,-0.0515199175047653,Control,Trial 1
70,hmm5_mean.5 > 0.34,-0.022765715561028868,Control,Trial 1
71,-0.03 < MM_Intercept <= 0.22,-0.021018392524164327,Control,Trial 1
72,0.36 < average_peak_magnitude <= 1.05,0.016508717094238113,Experiment,Trial 1
73,hmm5_sd.1 <= 0.01,0.0158320585176087,Experiment,Trial 1
74,0.18 < hmm5_mean.2 <= 0.28,-0.014673819865893882,Control,Trial 1
75,0.14 < hmm5_mean.3 <= 0.19,0.014083202341691614,Experiment,Trial 1
76,hmm5_sd.5 > 0.03,0.013715377253825442,Experiment,Trial 1
77,0.01 < hmm5_sd.3 <= 0.01,-0.013541145638184909,Control,Trial 1
78,hmm5_p2 > 0.28,0.01187269220532572,Experiment,Trial 1
79,hmm5_p4 > 0.24,0.01015100778616874,Experiment,Trial 1
80,0.22 < hmm5_mean.4 <= 0.27,0.008391931891819762,Experiment,Trial 1
81,-0.00 < average_peak_curvature <= -0.00,0.007169986447467025,Experiment,Trial 1
82,hmm5_p1 <= 0.13,0.007106804013148742,Experiment,Trial 1
83,0.02 < hmm5_sd.4 <= 0.03,0.00561141107885325,Experiment,Trial 1
84,0.01 < hmm5_sd.2 <= 0.01,0.005541798608665608,Experiment,Trial 1
85,-0.08 < average_speed <= 0.29,0.0026097462187549617,Experiment,Trial 1
86,hmm5_p3 <= 0.13,-0.0009503495823006249,Control,Trial 1
87,hmm5_mean.1 <= 0.15,0.000207961470068796,Experiment,Trial 1
88,MM_Hess <= -11.75,0.501890867464438,Experiment,Trial 1
89,average_peak_magnitude > 0.91,-0.1292801047657105,Control,Trial 1
90,dis_sum > 0.40,-0.10731961226240706,Control,Trial 1
91,MM_Intercept > 0.20,-0.10326280137053073,Control,Trial 1
92,idle_time <= -0.52,-0.10068501771899091,Control,Trial 1
93,angle_sum <= -0.58,0.05596634950491265,Experiment,Trial 1
94,average_speed > 0.25,0.02859487957682775,Experiment,Trial 1
95,0.02 < hmm5_sd.1 <= 0.03,-0.0161727864110636,Control,Trial 1
96,hmm5_p4 <= 0.15,0.013537269238095713,Experiment,Trial 1
97,hmm5_mean.4 > 0.26,0.008752370512652295,Experiment,Trial 1
98,hmm5_sd.2 > 0.02,-0.007768491226794616,Control,Trial 1
99,hmm5_mean.1 > 0.33,0.007615839077633474,Experiment,Trial 1
100,hmm5_mean.5 > 0.34,0.006915732159905617,Experiment,Trial 1
101,hmm5_p1 > 0.22,0.004153647196360757,Experiment,Trial 1
102,0.12 < hmm5_mean.2 <= 0.19,-0.004127924752649141,Control,Trial 1
103,0.22 < hmm5_p2 <= 0.29,-0.003908507622724541,Control,Trial 1
104,hmm5_sd.5 > 0.03,-0.0029514399546644327,Control,Trial 1
105,hmm5_p3 <= 0.13,-0.0022210412446584424,Control,Trial 1
106,hmm5_sd.3 <= 0.01,-0.0021091479090417846,Control,Trial 1
107,average_peak_curvature <= -0.00,-0.0012528331901265515,Control,Trial 1
108,hmm5_mean.3 > 0.24,0.0008403924570727998,Experiment,Trial 1
109,0.01 < hmm5_sd.4 <= 0.02,-0.0004600060969085758,Control,Trial 1
110,MM_Hess > 7.01,-0.36912670670028225,Control,Trial 1
111,-0.37 < angle_sum <= 0.74,0.030971224776090323,Experiment,Trial 1
112,0.16 < hmm5_p3 <= 0.23,0.02035525306196297,Experiment,Trial 1
113,0.01 < hmm5_sd.3 <= 0.02,0.019878942538216895,Experiment,Trial 1
114,hmm5_sd.1 <= 0.01,0.018944225933098458,Experiment,Trial 1
115,0.02 < hmm5_sd.5 <= 0.04,0.013240994586365424,Experiment,Trial 1
116,-0.06 < dis_sum <= 0.43,-0.013120854985822602,Control,Trial 1
117,0.14 < hmm5_mean.1 <= 0.21,-0.012303160573258802,Control,Trial 1
118,hmm5_mean.3 <= 0.14,0.012133436321877621,Experiment,Trial 1
119,-0.25 < MM_Intercept <= -0.02,0.010648353734832227,Experiment,Trial 1
