"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"1","CTEEG030",5658.38751348109,1799.08212312399,-608.471584546542,-2495.96697212589,"control","1"
"2","CTEEG031",8542.54514147025,5100.56309249241,1491.55931250869,-381.129473425283,"control","1"
"3","CTEEG032",4135.4468139938,474.486272250684,-2315.25805486416,-4444.39715927752,"control","1"
"4","CTEEG033",2955.34703540322,-355.788874604098,-3166.00363097707,-5219.50040520527,"control","1"
"5","CTEEG034",7942.21007544063,4468.51088404336,1570.77793112917,36.3961118665729,"control","1"
"6","CTEEG035",5783.59585081811,1692.69383669413,-646.974052717273,-2805.771814798,"control","1"
"7","CTEEG036",9750.41576049696,5270.2073971072,2853.00532251514,1142.01563457399,"control","1"
"8","CTEEG037",5394.31345671383,1319.18215655625,-1203.13478329128,-3064.48581447008,"control","1"
"9","CTEEG038",6813.76970763125,2884.9256702485,43.0714164744679,-2600.22955396695,"control","1"
"10","CTEEG041",9872.31766843329,6222.5637838764,3484.82018357296,1636.43824310008,"control","1"
"11","CTEEG042",6792.28111339399,2326.41157200878,-416.86368072766,-2183.55553904564,"control","1"
"12","CTEEG043",4019.73880230274,323.474324851749,-2417.07361843744,-4336.68377474205,"control","1"
"13","CTEEG046",7428.10675606309,3897.27773594392,716.15852682963,-1533.67070052102,"control","1"
"14","CTEEG047",4327.62399826461,141.187868836974,-2399.59946045527,-5048.41092284686,"control","1"
"15","CTEEG048",-597.574735355837,-4355.55258759142,-7114.43743430908,-9447.56379032186,"control","1"
"16","CTEEG051",6985.39676768115,2652.87708417225,15.3191904773765,-1625.20697398866,"control","1"
"17","CTEEG052",6287.58445195562,2908.05805037258,60.5743603706512,-2041.8555882511,"control","1"
"18","CTEEG053",3715.42510551013,615.30838343224,-1887.09255270075,-4091.84819711554,"control","1"
"19","CTEEG054",-1175.26049345811,-4627.1271491518,-7451.76978457426,-9199.95031024575,"control","1"
"20","CTEEG055",4199.35417088048,-323.925528473404,-3354.4762004559,-5334.59472030656,"control","1"
"21","CTEEG056",-1067.05386600142,-5300.97411184377,-7214.84085704684,-9510.30936262718,"control","1"
"22","CTEEG059",7273.68321083914,3588.00845490408,816.629358831387,-820.644289683132,"control","1"
"23","CTEEG061",4360.0741891195,558.995201869474,-2623.01056148859,-4538.46513303797,"control","1"
"24","CTEEG062",-3410.03545142736,-7418.38833681112,-10528.9085166586,-13274.0464870725,"control","1"
"25","CTEEG065",1603.75994907377,-1942.19347925589,-5089.36482321959,-6998.89266937496,"control","1"
"26","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control","1"
"27","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control","1"
"28","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control","1"
"29","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control","1"
"30","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control","1"
"31","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control","1"
"32","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control","1"
"33","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control","1"
"34","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control","1"
"35","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control","1"
"36","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control","1"
"37","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control","1"
"38","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control","1"
"39","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control","1"
"40","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control","1"
"41","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control","1"
"42","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control","1"
"43","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control","1"
"44","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control","1"
"45","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control","1"
"46","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control","1"
"47","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control","1"
"48","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control","1"
"49","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control","1"
"50","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control","1"
"51","CTEEG030",-9025.70217323611,-12885.0073532222,-15292.560645359,-17180.0565072369,"control","1"
"52","CTEEG031",-6034.64891956947,-9476.63083275054,-13085.6346582121,-14958.3231117778,"control","1"
"53","CTEEG032",-10500.8211351775,-14161.7816140681,-16951.5258308251,-19080.6648631427,"control","1"
