"","Subject","angle_sum","dis_sum","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2"
"1","C02",-44.8778491881804,0.385400944358771,1.031,-0.387,0.878,0.173,0.207983898020798,0.792016101979202
"2","C03",-47.4200281568613,0.377626827654638,1.2,-0.227,0.801,0.305,0.318279151255597,0.681720848744403
"3","C04",-114.101395269932,0.572972783705285,4.081,0.909,1.339,0.72,0.310001745505324,0.689998254494676
"4","C05",-55.4964179246541,0.43420967184826,-0.037,-0.463,0.126,0.118,0.394274609462591,0.605725390537409
"5","C06",-19.4504961723478,0.408324711729738,-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371
"6","C07",-45.4630342700635,0.404736293827006,1.022,-0.638,0.54,0.127,0.28983164983165,0.71016835016835
"7","C08",-43.9621638431319,0.497428150989255,-0.521,0.7,0.202,0.642,0.608219379503014,0.391780620496986
"8","C09",-42.9706337550522,0.39695474245384,-0.425,1.683,0.212,0.991,0.728802447552448,0.271197552447552
"9","C10",-30.8323997700174,0.514311979187018,-0.163,-0.551,0.644,0.103,0.23447995115001,0.76552004884999
"10","C11",-98.5097004936539,0.512823843052215,0.369,-0.618,0.648,0.136,0.437693229856773,0.562306770143227
"11","C12",-25.2106192672736,0.389257946286211,-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371
"12","C13",-44.8045459476774,0.404517564298152,4.55,0.745,2.097,0.772,0.288864142538976,0.711135857461024
"13","C15",135.447881483511,0.639860064313048,-0.127,-0.729,0.236,0.134,0.213423891330404,0.786576108669596
"14","C17",143.886655954651,0.556661320504574,0.65,-0.263,0.397,0.214,0.442039485600435,0.557960514399565
"15","C18",-45.6450278673841,0.401141625133397,-0.364,1.033,0.153,0.891,0.440386680988185,0.559613319011815
"16","C19",-140.480986166183,0.666382859001045,-0.605,0.014,0.086,0.33,0.49826443673083,0.50173556326917
"17","C20",142.235969569745,0.599063726067599,-0.11,-0.672,0.218,0.132,0.618793503480278,0.381206496519722
"18","C21",-86.0346088800356,0.485619977345711,-0.335,0.353,0.199,0.252,0.47081303143212,0.52918696856788
"19","C22",-67.4262309696492,1.06259967400573,1.941,0.183,1.034,0.417,0.391558275356586,0.608441724643414
"20","C23",111.353604845772,0.597510075224891,1.604,0.444,0.49,0.339,0.359542857142857,0.640457142857143
"21","C24",-114.227804086997,0.913072456800212,0.146,-0.54,0.292,0.181,0.346979158635931,0.653020841364069
"22","C30",-90.9753599857539,0.610204771375492,-0.247,0.998,0.266,0.606,0.492753623188406,0.507246376811594
"23","C31",-115.3822845036,0.753753078190902,2.119,0.08,1.117,0.466,0.229654403567447,0.770345596432553
"24","C32",-47.8944836261251,0.496671312246826,1.079,-0.618,0.73,0.357,0.288740245261984,0.711259754738016
"25","C33",-123.512706558823,0.614848621405815,0.531,-0.401,0.51,0.177,0.470457079152731,0.529542920847269
"26","C34",-56.8283301334302,0.762090367562925,-0.31,1.479,0.422,0.692,0.434782608695652,0.565217391304348
"27","C35",-80.1973053521656,0.634054911552202,-0.439,0.544,0.301,0.376,0.521739130434783,0.478260869565217
"28","C36",-100.059325908609,0.748072005867702,2.891,1.439,0.786,0.458,0.32329988851728,0.67670011148272
"29","C37",-60.5399658437648,0.700680985370354,0.579,-0.662,0.536,0.293,0.392419175027871,0.607580824972129
"30","C38",-113.546651793537,0.678189337209095,-0.269,0.623,0.283,0.285,0.49386845039019,0.50613154960981
"31","C41",124.589816522071,0.699781180663874,0.149,1.75,0.502,0.628,0.597547380156076,0.402452619843924
"32","C42",-129.008558122112,0.53986703783218,-0.729,0.107,0.253,0.326,0.566332218506132,0.433667781493868
"33","C43",178.410535894793,0.654557615727787,-1.125,-0.279,0.203,0.388,0.474916387959866,0.525083612040134
"34","C46",-132.927281441632,0.612118649153392,-0.104,0.739,0.206,0.594,0.603121516164994,0.396878483835006
"35","C47",-113.711798822237,0.748812202967471,-0.385,-1.035,0.192,0.19,0.455964325529543,0.544035674470457
"36","C48",-90.8039692514406,0.700428248344864,-0.343,-0.93,0.248,0.178,0.334448160535117,0.665551839464883
"37","C49",125.372410994469,0.616964775114529,-0.538,0.161,0.196,0.43,0.473277590337881,0.526722409662119
"38","C51",7.105427357601e-15,0.478890766653544,-0.454,0.916,0.227,0.71,0.670011148272018,0.329988851727982
"39","C52",-44.942155017063,0.708705110916161,2.962,-0.035,1.912,0.584,0.284280936454849,0.71571906354515
"40","C57",136.363935244214,1.49909940556343,-0.857,-0.533,0.064,0.199,0.568199443456047,0.431800556543953
"41","C58",-107.354796536071,0.574038321671637,0.088,-0.653,0.382,0.142,0.355182699478002,0.644817300521998
"42","C60",-46.4957580203456,0.388342243192973,-0.413,-0.823,0.218,0.077,0.490743895513913,0.509256104486087
