"","Subject","angle_sum","dis_sum","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3"
"1","C02",-44.8778491881804,0.385400944358771,1.365,-0.459,-0.093,0.786,0.123,0.121,0.15330426031533,0.608017443810802,0.238678295873868
"2","C03",-47.4200281568613,0.377626827654638,1.296,0.082,-0.483,0.793,0.171,0.148,0.284601907728246,0.360619038349231,0.354779053922523
"3","C04",-114.101395269932,0.572972783705285,5.416,2.588,0.643,1.032,0.772,0.574,0.124890905917263,0.336009774829813,0.539099319252924
"4","C05",-55.4964179246541,0.43420967184826,-0.028,-0.542,-0.335,0.121,0.077,0.049,0.377681441064355,0.369982808879587,0.252335750056058
"5","C06",-19.4504961723478,0.408324711729738,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146
"6","C07",-45.4630342700635,0.404736293827006,-0.455,1.031,-0.694,0.074,0.531,0.079,0.171851851851852,0.287946127946128,0.54020202020202
"7","C08",-43.9621638431319,0.497428150989255,-0.082,0.99,-0.585,0.158,0.564,0.162,0.228789883840612,0.270989560358771,0.500220555800618
"8","C09",-42.9706337550522,0.39695474245384,-0.267,-0.636,1.576,0.081,0.088,1.043,0.383522727272727,0.326486013986014,0.289991258741259
"9","C10",-30.8323997700174,0.514311979187018,-0.154,-0.459,-0.633,0.649,0.053,0.062,0.228373702422145,0.366069611235498,0.405556686342357
"10","C11",-98.5097004936539,0.512823843052215,0.728,-0.678,-0.295,0.595,0.093,0.14,0.266893810335037,0.427913433024166,0.305192756640798
"11","C12",-25.2106192672736,0.389257946286211,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146
"12","C13",-44.8045459476774,0.404517564298152,5.501,-0.012,1.562,1.853,0.249,0.569,0.199331848552339,0.320155902004454,0.480512249443207
"13","C15",135.447881483511,0.639860064313048,-0.627,-0.141,-0.877,0.057,0.242,0.031,0.455133839392729,0.221654015181782,0.323212145425489
"14","C17",143.886655954651,0.556661320504574,0.737,-0.012,-0.42,0.37,0.128,0.138,0.373483064662199,0.314164100706394,0.312352834631407
"15","C18",-45.6450278673841,0.401141625133397,-0.375,2.14,0.448,0.143,0.578,0.304,0.425251440289034,0.188848745239723,0.385899814471243
"16","C19",-140.480986166183,0.666382859001045,-0.677,0.073,-0.5,0.042,0.313,0.073,0.253155569580309,0.4367308299148,0.310113600504891
"17","C20",142.235969569745,0.599063726067599,-0.54,-0.101,-0.777,0.069,0.215,0.077,0.192807424593968,0.602320185614849,0.204872389791183
"18","C21",-86.0346088800356,0.485619977345711,-0.432,0.448,-0.021,0.149,0.216,0.091,0.335053023789051,0.400305722747683,0.264641253463266
"19","C22",-67.4262309696492,1.06259967400573,2.032,0.589,-0.143,1.033,0.199,0.28,0.356795495264909,0.320334132210252,0.322870372524839
"20","C23",111.353604845772,0.597510075224891,0.848,1.75,0.199,0.144,0.449,0.21,0.340495238095238,0.284495238095238,0.375009523809524
