"","Subject","angle_sum","dis_sum","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4"
"1","C02",-44.8778491881804,0.385400944358771,-0.078,1.367,-0.32,-0.521,0.116,0.786,0.033,0.098,0.220731298222073,0.152968802415297,0.210415967796042,0.415883931566588
"2","C03",-47.4200281568613,0.377626827654638,0.175,1.294,-0.5,-0.145,0.114,0.793,0.138,0.067,0.247323340471092,0.285283239244695,0.330932450846798,0.136460969437415
"3","C04",-114.101395269932,0.572972783705285,1.294,1.956,4.239,0.274,0.165,0.233,1.287,0.369,0.209373363588759,0.165212078896841,0.284255541979403,0.341159015534997
"4","C05",-55.4964179246541,0.43420967184826,-0.613,-0.49,-0.334,-0.028,0.062,0.034,0.049,0.121,0.15389789969355,0.217953509230884,0.250317662007624,0.377830929067942
"5","C06",-19.4504961723478,0.408324711729738,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915
"6","C07",-45.4630342700635,0.404736293827006,-0.465,-0.596,1.032,-0.731,0.079,0.003,0.531,0.06,0.186936026936027,0.129158249158249,0.287811447811448,0.396094276094276
"7","C08",-43.9621638431319,0.497428150989255,-0.769,0.991,-0.475,-0.08,0.089,0.564,0.073,0.157,0.185560946919571,0.270989560358771,0.315762387884135,0.227687104837524
"8","C09",-42.9706337550522,0.39695474245384,-0.581,1.573,-0.265,-0.733,0.064,1.044,0.079,0.025,0.21722027972028,0.290428321678322,0.378496503496503,0.113854895104895
"9","C10",-30.8323997700174,0.514311979187018,-0.645,-0.151,-0.516,-0.412,0.059,0.648,0.026,0.028,0.357419092204356,0.227966619173621,0.231325055973947,0.183289232648077
"10","C11",-98.5097004936539,0.512823843052215,-0.139,-0.697,-0.458,0.847,0.129,0.083,0.067,0.569,0.209476938608114,0.376048962079626,0.188466149283866,0.226007950028393
"11","C12",-25.2106192672736,0.389257946286211,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915
"12","C13",-44.8045459476774,0.404517564298152,5.589,2.182,1.173,-0.021,1.818,0.313,0.337,0.241,0.192984409799555,0.191870824053452,0.300779510022272,0.314365256124722
"13","C15",135.447881483511,0.639860064313048,-0.69,-0.185,-0.879,-0.6,0.041,0.258,0.03,0.022,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029
"14","C17",143.886655954651,0.556661320504574,0.25,0.901,-0.456,-0.12,0.122,0.321,0.123,0.089,0.217170802390871,0.262271327658033,0.260369498279297,0.260188371671799
"15","C18",-45.6450278673841,0.401141625133397,0.695,2.152,0.071,-0.432,0.187,0.571,0.173,0.088,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869
"16","C19",-140.480986166183,0.666382859001045,-0.68,0.262,-0.542,-0.266,0.041,0.269,0.04,0.113,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745
"17","C20",142.235969569745,0.599063726067599,-0.52,-0.771,0.129,-0.223,0.078,0.079,0.193,0.062,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647
"18","C21",-86.0346088800356,0.485619977345711,-0.432,0.333,0.662,-0.006,0.15,0.052,0.208,0.103,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391
"19","C22",-67.4262309696492,1.06259967400573,2.844,1.287,0.522,-0.156,1.062,0.272,0.162,0.275,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387
