"","Subject","angle_sum","dis_sum","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"1","C02",-44.8778491881804,0.385400944358771,-0.312,-0.573,-0.081,-0.412,1.367,0.025,0.079,0.117,0.026,0.786,0.177373364642737,0.274823884602482,0.224505199597451,0.170244884267024,0.153052666890305
"2","C03",-47.4200281568613,0.377626827654638,0.139,0.688,-0.584,1.895,-0.245,0.093,0.217,0.092,0.772,0.109,0.225715398092272,0.180163519563948,0.214716760755305,0.135779637920966,0.24362468366751
"3","C04",-114.101395269932,0.572972783705285,0.048,-0.287,4.134,1.529,0.52,0.069,0.165,1.321,0.361,0.152,0.0748821783906441,0.0651946238436027,0.301361494152557,0.367777971722814,0.190783731890382
"4","C05",-55.4964179246541,0.43420967184826,-0.49,-0.613,0.018,-0.343,-0.176,0.034,0.062,0.105,0.042,0.049,0.217953509230884,0.153823155691756,0.280215262725166,0.227670229464085,0.120337842888108
"5","C06",-19.4504961723478,0.408324711729738,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393
"6","C07",-45.4630342700635,0.404736293827006,-0.694,0.058,0.821,1.7,-0.459,0.079,0.241,0.136,0.293,0.068,0.541279461279461,0.0297643097643098,0.172929292929293,0.0894276094276094,0.166599326599327
"7","C08",-43.9621638431319,0.497428150989255,-0.08,-0.866,-0.474,-0.703,0.991,0.157,0.018,0.072,0.054,0.564,0.227687104837524,0.0732980444052345,0.312968681076312,0.115056609322159,0.270989560358771
"8","C09",-42.9706337550522,0.39695474245384,-0.271,-0.634,0.3,2.834,1.616,0.074,0.089,0.275,0.201,0.461,0.369318181818182,0.329982517482518,0.104676573426573,0.0882867132867133,0.107736013986014
"9","C10",-30.8323997700174,0.514311979187018,-0.507,-0.136,-0.412,-0.688,-0.583,0.02,0.648,0.028,0.048,0.02,0.186342357012009,0.222572766130674,0.184306940769387,0.209139018929371,0.197638917158559
"10","C11",-98.5097004936539,0.512823843052215,-0.616,-0.772,-0.133,-0.442,0.849,0.033,0.041,0.127,0.063,0.569,0.208278124802827,0.188024481039813,0.204870969777273,0.173197047132311,0.225629377247776
"11","C12",-25.2106192672736,0.389257946286211,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393
"12","C13",-44.8045459476774,0.404517564298152,0.919,5.595,1.566,2.245,-0.033,0.223,1.816,0.119,0.286,0.231,0.188307349665924,0.192538975501114,0.143429844097996,0.168819599109131,0.306904231625835
"13","C15",135.447881483511,0.639860064313048,-0.602,-0.457,-0.69,-0.879,-0.014,0.019,0.075,0.041,0.03,0.185,0.240990811026768,0.114662405113863,0.174990011985617,0.318337994406712,0.15101877746704
"14","C17",143.886655954651,0.556661320504574,-0.095,0.903,0.255,-0.598,-0.349,0.078,0.321,0.12,0.071,0.066,0.225230936424561,0.26136569462054,0.214272776670893,0.0956348487592827,0.203495743524724
"15","C18",-45.6450278673841,0.401141625133397,0.755,-0.114,-0.439,0.257,2.143,0.143,0.085,0.083,0.115,0.576,0.168440581974417,0.12987012987013,0.330534127526609,0.182892295674251,0.188262864954594
"16","C19",-140.480986166183,0.666382859001045,-0.64,-0.536,-0.708,-0.235,0.309,0.02,0.04,0.031,0.127,0.26,0.120621647207321,0.227358788261281,0.136320605869359,0.291969075418113,0.223729883243926
"17","C20",142.235969569745,0.599063726067599,-0.749,-0.307,-0.192,0.103,-0.511,0.09,0.043,0.022,0.198,0.052,0.252977571539056,0.149574632637278,0.212219644238206,0.24215003866976,0.1430781129157
"18","C21",-86.0346088800356,0.485619977345711,-0.307,-0.539,-0.107,0.452,0.059,0.055,0.113,0.049,0.214,0.051,0.146173688736028,0.183338110251266,0.133084933600841,0.394382344511321,0.143020922900545
"19","C22",-67.4262309696492,1.06259967400573,2.846,1.289,0.079,0.541,-0.392,1.062,0.272,0.114,0.152,0.201,0.15943411592247,0.243269655862438,0.181027060986109,0.266933476045327,0.149335691183656
"20","C23",111.353604845772,0.597510075224891,0.783,0.201,1.604,2.369,1.105,0.096,0.212,0.143,0.299,0.103,0.249980952380952,0.377219047619048,0.157104761904762,0.0784761904761905,0.137219047619048
"21","C24",-114.227804086997,0.913072456800212,-0.534,0.485,-0.76,0.009,-0.314,0.059,0.229,0.082,0.112,0.06,0.248323182484003,0.114897335080821,0.201295196977874,0.200781229923162,0.23470305553414
"22","C30",-90.9753599857539,0.610204771375492,1.836,-0.5,-0.111,0.912,0.332,0.391,0.188,0.08,0.159,0.148,0.137123745819398,0.208472686733556,0.235228539576366,0.208472686733556,0.210702341137124
"23","C31",-115.3822845036,0.753753078190902,-0.154,2.179,-0.571,0.658,0.312,0.119,1.109,0.143,0.137,0.107,0.234113712374582,0.219620958751394,0.159420289855072,0.221850613154961,0.164994425863991
"24","C32",-47.8944836261251,0.496671312246826,-1.04,-0.555,-0.205,0.519,1.79,0.152,0.097,0.113,0.238,0.473,0.244147157190635,0.258639910813824,0.208472686733556,0.16164994425864,0.127090301003344
"25","C33",-123.512706558823,0.614848621405815,0.33,-0.539,-0.312,1.109,-0.013,0.123,0.118,0.058,0.363,0.106,0.156075808249721,0.269788182831661,0.187290969899666,0.169453734671126,0.217391304347826
"26","C34",-56.8283301334302,0.762090367562925,0.795,-0.615,1.19,2.23,0.188,0.106,0.207,0.141,0.381,0.179,0.147157190635452,0.263099219620959,0.17056856187291,0.226309921962096,0.192865105908584
"27","C35",-80.1973053521656,0.634054911552202,-1.016,0.752,-0.342,0.136,-0.739,0.052,0.331,0.108,0.163,0.108,0.0602006688963211,0.293199554069119,0.297658862876254,0.264214046822742,0.084726867335563
"28","C36",-100.059325908609,0.748072005867702,1.864,0.66,1.502,2.898,1.046,0.112,0.1,0.081,0.782,0.152,0.276477146042363,0.102564102564103,0.173913043478261,0.321070234113712,0.125975473801561
"29","C37",-60.5399658437648,0.700680985370354,-0.442,-0.062,0.426,-0.922,1.172,0.104,0.117,0.113,0.15,0.308,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019
"30","C38",-113.546651793537,0.678189337209095,-0.584,0.374,0.771,-0.247,0.086,0.075,0.085,0.242,0.115,0.071,0.182831661092531,0.158305462653289,0.328874024526198,0.162764771460424,0.167224080267559
