"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"1","C30",0.158,0.294,0.029,0.066,0.492753623188406,0.507246376811594,0.156,0.256,0.382,0.028,0.033,0.044,0.469342251950948,0.387959866220736,0.142697881828317,0.385,0.223,0.286,0.154,0.043,0.017,0.016,0.026,0.137123745819398,0.208472686733556,0.204013377926421,0.450390189520624,0.385,0.131,0.173,0.284,0.221,0.043,0.02,0.009,0.017,0.016,0.137123745819398,0.208472686733556,0.235228539576366,0.208472686733556,0.210702341137124,"control"
"2","C31",0.416,0.194,0.122,0.051,0.229654403567447,0.770345596432553,0.152,0.421,0.242,0.027,0.121,0.022,0.409141583054627,0.224080267558528,0.366778149386845,0.514,0.236,0.152,0.321,0.122,0.016,0.028,0.039,0.102564102564103,0.307692307692308,0.412486064659978,0.177257525083612,0.168,0.422,0.123,0.257,0.219,0.013,0.121,0.016,0.015,0.012,0.234113712374582,0.219620958751394,0.159420289855072,0.221850613154961,0.164994425863991,"control"
"3","C32",0.303,0.118,0.08,0.039,0.288740245261984,0.711259754738016,0.118,0.38,0.241,0.039,0.051,0.027,0.710144927536232,0.127090301003344,0.162764771460424,0.38,0.142,0.072,0.241,0.051,0.022,0.017,0.027,0.127090301003344,0.461538461538462,0.24860646599777,0.162764771460424,0.072,0.125,0.163,0.242,0.38,0.017,0.011,0.012,0.026,0.052,0.244147157190635,0.258639910813824,0.208472686733556,0.16164994425864,0.127090301003344,"control"
"4","C33",0.243,0.141,0.056,0.019,0.465997770345596,0.534002229654404,0.197,0.137,0.297,0.02,0.016,0.043,0.338907469342252,0.462653288740245,0.198439241917503,0.289,0.193,0.119,0.146,0.046,0.018,0.012,0.008,0.226309921962096,0.316610925306577,0.154960981047938,0.302118171683389,0.221,0.126,0.151,0.306,0.184,0.013,0.013,0.006,0.04,0.012,0.156075808249721,0.269788182831661,0.187290969899666,0.169453734671126,0.217391304347826,"control"
"5","C34",0.151,0.346,0.046,0.075,0.434782608695652,0.565217391304348,0.152,0.428,0.291,0.046,0.042,0.028,0.438127090301003,0.22742474916388,0.334448160535117,0.428,0.268,0.315,0.151,0.041,0.015,0.015,0.046,0.226309921962096,0.168338907469342,0.17056856187291,0.434782608695652,0.272,0.118,0.315,0.428,0.206,0.012,0.023,0.015,0.042,0.02,0.147157190635452,0.263099219620959,0.17056856187291,0.226309921962096,0.192865105908584,"control"
"6","C35",0.137,0.244,0.033,0.041,0.521739130434783,0.478260869565217,0.214,0.285,0.133,0.02,0.034,0.031,0.338907469342252,0.180602006688963,0.480490523968785,0.301,0.226,0.161,0.107,0.03,0.018,0.015,0.024,0.127090301003344,0.335562987736901,0.312151616499443,0.225195094760312,0.074,0.267,0.148,0.2,0.105,0.006,0.036,0.012,0.018,0.012,0.0602006688963211,0.293199554069119,0.297658862876254,0.264214046822742,0.084726867335563,"control"
"7","C36",0.5,0.342,0.086,0.05,0.32329988851728,0.67670011148272,0.373,0.279,0.502,0.023,0.025,0.085,0.459308807134894,0.224080267558528,0.316610925306577,0.277,0.388,0.501,0.347,0.023,0.012,0.085,0.011,0.216276477146042,0.276477146042363,0.321070234113712,0.186176142697882,0.388,0.257,0.349,0.501,0.299,0.012,0.011,0.009,0.085,0.017,0.276477146042363,0.102564102564103,0.173913043478261,0.321070234113712,0.125975473801561,"control"
"8","C37",0.248,0.113,0.058,0.032,0.392419175027871,0.607580824972129,0.084,0.252,0.142,0.016,0.057,0.016,0.297658862876254,0.372352285395764,0.329988851727982,0.085,0.178,0.137,0.276,0.016,0.013,0.011,0.048,0.297658862876254,0.163879598662207,0.265328874024526,0.273132664437012,0.137,0.178,0.231,0.085,0.313,0.011,0.013,0.012,0.016,0.034,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019,"control"
"9","C38",0.156,0.253,0.031,0.031,0.49386845039019,0.50613154960981,0.188,0.257,0.129,0.016,0.029,0.014,0.289855072463768,0.459308807134894,0.250836120401338,0.129,0.245,0.3,0.189,0.014,0.014,0.025,0.017,0.255295429208473,0.346711259754738,0.105908584169454,0.292084726867336,0.121,0.226,0.269,0.158,0.194,0.008,0.009,0.026,0.013,0.008,0.182831661092531,0.166109253065775,0.321070234113712,0.162764771460424,0.167224080267559,"control"
"10","C41",0.201,0.376,0.055,0.068,0.597547380156076,0.402452619843924,0.142,0.239,0.378,0.034,0.025,0.067,0.230769230769231,0.38015607580825,0.389074693422519,0.142,0.234,0.421,0.302,0.034,0.022,0.049,0.019,0.229654403567447,0.335562987736901,0.239687848383501,0.195094760312152,0.393,0.234,0.301,0.142,0.485,0.029,0.022,0.018,0.034,0.021,0.172798216276477,0.335562987736901,0.190635451505017,0.229654403567447,0.0713489409141583,"control"
