"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"1","C30",-0.247,0.998,0.266,0.606,0.492753623188406,0.507246376811594,-0.269,0.651,1.809,0.253,0.305,0.404,0.469342251950948,0.387959866220736,0.142697881828317,1.836,0.348,0.923,-0.288,0.391,0.152,0.151,0.242,0.137123745819398,0.208472686733556,0.204013377926421,0.450390189520624,1.836,-0.5,-0.111,0.912,0.332,0.391,0.188,0.08,0.159,0.148,0.137123745819398,0.208472686733556,0.235228539576366,0.208472686733556,0.210702341137124,"control"
"2","C31",2.119,0.08,1.117,0.466,0.229654403567447,0.770345596432553,-0.304,2.162,0.52,0.251,1.11,0.2,0.409141583054627,0.224080267558528,0.366778149386845,3.016,0.465,-0.3,1.25,1.118,0.151,0.253,0.362,0.102564102564103,0.307692307692308,0.412486064659978,0.177257525083612,-0.154,2.179,-0.571,0.658,0.312,0.119,1.109,0.143,0.137,0.107,0.234113712374582,0.219620958751394,0.159420289855072,0.221850613154961,0.164994425863991,"control"
"3","C32",1.079,-0.618,0.73,0.357,0.288740245261984,0.711259754738016,-0.62,1.792,0.512,0.356,0.472,0.245,0.710144927536232,0.127090301003344,0.162764771460424,1.791,-0.398,-1.034,0.511,0.472,0.199,0.157,0.246,0.127090301003344,0.461538461538462,0.24860646599777,0.162764771460424,-1.04,-0.555,-0.205,0.519,1.79,0.152,0.097,0.113,0.238,0.473,0.244147157190635,0.258639910813824,0.208472686733556,0.16164994425864,0.127090301003344,"control"
"4","C33",0.531,-0.401,0.51,0.177,0.470457079152731,0.529542920847269,0.108,-0.442,1.024,0.179,0.15,0.398,0.338907469342252,0.462653288740245,0.198439241917503,1.023,0.102,-0.605,-0.358,0.398,0.181,0.108,0.078,0.198439241917503,0.344481605351171,0.154960981047938,0.302118171683389,0.33,-0.539,-0.312,1.109,-0.013,0.123,0.118,0.058,0.363,0.106,0.156075808249721,0.269788182831661,0.187290969899666,0.169453734671126,0.217391304347826,"control"
"5","C34",-0.31,1.479,0.422,0.692,0.434782608695652,0.565217391304348,-0.307,2.227,0.976,0.423,0.384,0.253,0.438127090301003,0.22742474916388,0.334448160535117,2.231,0.758,1.189,-0.313,0.381,0.142,0.142,0.419,0.226309921962096,0.168338907469342,0.17056856187291,0.434782608695652,0.795,-0.615,1.19,2.23,0.188,0.106,0.207,0.141,0.381,0.179,0.147157190635452,0.263099219620959,0.17056856187291,0.226309921962096,0.192865105908584,"control"
"6","C35",-0.439,0.544,0.301,0.376,0.521739130434783,0.478260869565217,0.27,0.919,-0.475,0.184,0.312,0.285,0.338907469342252,0.180602006688963,0.480490523968785,1.059,0.377,-0.217,-0.719,0.279,0.17,0.141,0.225,0.127090301003344,0.335562987736901,0.312151616499443,0.225195094760312,-1.016,0.752,-0.342,0.136,-0.739,0.052,0.331,0.108,0.163,0.108,0.0602006688963211,0.293199554069119,0.297658862876254,0.264214046822742,0.084726867335563,"control"
"7","C36",2.891,1.439,0.786,0.458,0.32329988851728,0.67670011148272,1.726,0.865,2.908,0.21,0.228,0.783,0.459308807134894,0.224080267558528,0.316610925306577,0.845,1.866,2.898,1.49,0.213,0.111,0.782,0.098,0.216276477146042,0.276477146042363,0.321070234113712,0.186176142697882,1.864,0.66,1.502,2.898,1.046,0.112,0.1,0.081,0.782,0.152,0.276477146042363,0.102564102564103,0.173913043478261,0.321070234113712,0.125975473801561,"control"
"8","C37",0.579,-0.662,0.536,0.293,0.392419175027871,0.607580824972129,-0.924,0.617,-0.392,0.149,0.523,0.144,0.297658862876254,0.372352285395764,0.329988851727982,-0.922,-0.062,-0.442,0.833,0.15,0.118,0.104,0.442,0.297658862876254,0.163879598662207,0.265328874024526,0.273132664437012,-0.442,-0.062,0.426,-0.922,1.172,0.104,0.117,0.113,0.15,0.308,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019,"control"
"9","C38",-0.269,0.623,0.283,0.285,0.49386845039019,0.50613154960981,0.022,0.66,-0.517,0.151,0.269,0.127,0.289855072463768,0.459308807134894,0.250836120401338,-0.513,0.55,1.054,0.033,0.129,0.132,0.233,0.153,0.255295429208473,0.346711259754738,0.105908584169454,0.292084726867336,-0.584,0.374,0.771,-0.247,0.086,0.075,0.085,0.242,0.115,0.071,0.182831661092531,0.158305462653289,0.328874024526198,0.162764771460424,0.167224080267559,"control"
"10","C41",0.149,1.75,0.502,0.628,0.597547380156076,0.402452619843924,-0.395,0.499,1.775,0.309,0.232,0.619,0.230769230769231,0.38015607580825,0.389074693422519,-0.397,0.446,2.165,1.072,0.308,0.198,0.452,0.174,0.229654403567447,0.335562987736901,0.239687848383501,0.195094760312152,1.912,0.447,1.067,-0.397,2.757,0.266,0.198,0.169,0.308,0.189,0.172798216276477,0.335562987736901,0.190635451505017,0.229654403567447,0.0713489409141583,"control"
