"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials","performance_scale"
"1","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"2","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"3","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"4","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"5","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"6","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"7","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"8","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"9","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"10","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"11","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"12","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"13","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"14","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"15","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"16","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"17","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"18","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"19","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"20","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"21","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"22","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"23","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"24","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"25","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"26","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"27","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"28","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"29","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"30","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"31","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"32","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"33","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"34","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"35","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"36","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"37","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"38","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"39","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"40","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"41","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"42","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"43","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"44","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"45","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"46","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"47","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"48","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"49","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"50","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"51","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"52","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"53","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"54","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"55","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"56","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"57","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"58","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"59","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"60","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"61","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"62","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"63","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"64","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"65","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"66","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"67","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"68","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"69","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"70","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"71","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"72","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"73","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"74","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"75","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"76","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"77","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"78","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"79","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"80","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"81","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"82","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"83","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"84","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"85","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"86","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"87","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"88","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"89","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"90","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"91","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"92","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"93","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"94","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"95","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"96","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"97","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"98","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"99","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"100","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"101","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
"102","CTEEG031",-13184.2412039174,-16626.222929731,-20235.2268894943,-22107.9151344932,"control",1,"ZscoredScaled"
"103","CTEEG032",-17679.3870444147,-21340.3474724305,-24130.0916487319,-26259.2306653464,"control",1,"ZscoredScaled"
"104","CTEEG033",-18813.3666697146,-22124.5000076642,-24934.7168889171,-26988.2135911533,"control",1,"ZscoredScaled"
"105","CTEEG034",-13717.4924062792,-17191.1915026992,-20088.9242869624,-21623.3059707042,"control",1,"ZscoredScaled"
"106","CTEEG035",-15850.9501437958,-19941.8519640091,-22281.5196598175,-24440.3175155273,"control",1,"ZscoredScaled"
"107","CTEEG036",-11984.7560678491,-16464.964330811,-18882.1663320973,-20593.1558010643,"control",1,"ZscoredScaled"
"108","CTEEG037",-16433.0986566691,-20508.2298474114,-23030.5466782575,-24891.8972986616,"control",1,"ZscoredScaled"
"109","CTEEG038",-14883.6674064185,-18812.511446647,-21654.3655737743,-24297.6665967812,"control",1,"ZscoredScaled"
"110","CTEEG041",-11850.2759354751,-15500.0293167284,-18237.7731273044,-20086.1542857863,"control",1,"ZscoredScaled"
"111","CTEEG042",-14892.5777991367,-19358.4471962282,-22101.7223101414,-23868.4138986886,"control",1,"ZscoredScaled"
"112","CTEEG043",-18088.5869272582,-21784.8514079391,-24525.3989933133,-26445.0093873693,"control",1,"ZscoredScaled"
"113","CTEEG046",-14374.1489359507,-17904.9778438302,-21086.0970358154,-23335.9262319979,"control",1,"ZscoredScaled"
"114","CTEEG047",-17340.4639273564,-21526.8999788299,-24067.6866539932,-26716.4985822595,"control",1,"ZscoredScaled"
"115","CTEEG048",-22324.3606944648,-26082.3386050613,-28841.2232384256,-31174.3495996137,"control",1,"ZscoredScaled"
"116","CTEEG051",-14808.4733204196,-19140.9930539364,-21778.5508714257,-23419.0762023771,"control",1,"ZscoredScaled"
"117","CTEEG052",-15367.9252318685,-18747.4515218,-21594.9349510363,-23697.3650271528,"control",1,"ZscoredScaled"
"118","CTEEG053",-17852.0365399475,-20952.1535332996,-23454.5543398744,-25654.0715118392,"control",1,"ZscoredScaled"
"119","CTEEG054",-22847.5409474402,-26299.4076393853,-29124.050199818,-30872.2301494907,"control",1,"ZscoredScaled"
"120","CTEEG055",-17447.7700550698,-21971.0497143445,-25001.6003677108,-26981.7188557659,"control",1,"ZscoredScaled"
"121","CTEEG056",-22714.1774463726,-26948.0982334865,-28861.9649491622,-31157.4334037953,"control",1,"ZscoredScaled"
"122","CTEEG059",-14465.681294303,-18151.3559556121,-20922.7350683833,-22560.0086702407,"control",1,"ZscoredScaled"
"123","CTEEG061",-17488.3016201993,-21289.3794758342,-24471.3862855691,-26386.840783763,"control",1,"ZscoredScaled"
"124","CTEEG062",-25145.206909216,-29153.5595668876,-32264.0797893214,-35009.2180170709,"control",1,"ZscoredScaled"
"125","CTEEG065",-19976.2804021628,-23522.2327506222,-26669.4050008344,-28578.9323544903,"control",1,"ZscoredScaled"
"126","CTEEG030",-16227.7229195517,-20087.0280573267,-22494.5809850908,-24382.0772023559,"control",1,"ZscoredScaled"
